NIVEAU	METADATA_TV_HC	METADATA_KA	INLEIDING_BRON1	TEKSTBRON_OFURL	TOELICHTING_BRON																						
VWO	Tijdvak 3	KA 12 - het ontstaan van feodale verhoudingen in het bestuur	"
In 911 valt de Noorman Rollo het West-Frankische rijk binnen en vestigt zich in Normandië. Karel de Eenvoudige, de koning van het West-Frankische rijk uit de
familie van de Karolingen, moet dit probleem oplossen. Hij werkt daarbij samen met hertog Robert, de stamvader van het Franse koningshuis van de Capetingen. De
Capetingen nemen aan het einde van de tiende eeuw de macht over van de Karolingen.
De gebeurtenissen rond de inval van Rollo staan beschreven in een kroniek uit de
elfde eeuw uit de abdij van St. Denis (Frankrijk):"	"De koning was eerst van plan de provincie Vlaanderen aan Rollo te geven, maar de Noorman wees dat van de hand omdat hij Vlaanderen te drassig vond. Rollo weigerde vervolgens de voet van de koning te kussen toen die
hem het hertogdom Normandië schonk. ""Diegene die zo'n geschenk ontvangt moet de voet van de koning kussen,"" zei de bisschop tegen hem. ""Nooit,""
antwoordde Rollo, ""ik buig mijn knie voor niemand en kus niemands voet.""
Maar de aansporingen van de Franken brachten hem ertoe om één van zijn
krijgers te bevelen in zijn plaats de voet te kussen. De man pakte de voet van de koning en bracht die aan zijn lippen, de voet kussend zonder zich te
buigen, waardoor de koning achterover tuimelde. Er klonk luid gelach en er ontstond grote commotie onder de toeschouwers.
Koning Karel en Robert, hertog van de Franken, de hertogen en edelen, de bisschoppen en de abten bonden zich aan Rollo met de eed van het
katholieke geloof, waarbij ze zworen, op hun leven en hun lichamen en op de eer van het koninkrijk, dat hij het land mocht bezitten en dat het naar zijn
erfgenamen over zou gaan van generatie op generatie tot in de eeuwigheid. Toen deze zaken tot ieders tevredenheid waren uitgevoerd, keerde de koning met een goed humeur terug naar zijn domeinen. Rollo ging met hertog Robert naar Rouen.
In het jaar van Onze Heer 912 werd Rollo gedoopt in het heilige water in de
naam van de Heilige Drie-Eenheid door Franco, de aartsbisschop van Rouen.
Rollo eerde eerbiedig God en de Heilige Kerk met zijn geschenken. De
heidenen die zagen dat hun aanvoerder nu een christen was geworden, lieten hun afgoden in de steek en bekeerden zich en wilden zonder uitzondering
worden gedoopt. Intussen organiseerde hertog Robert een prachtige
huwelijksplechtigheid waarin Rollo volgens de christelijke riten huwde met Gisela, de dochter van de koning."																							
VWO	Tijdvak 3	KA 12 - het ontstaan van feodale verhoudingen in het bestuur	"
In 911 valt de Noorman Rollo het West-Frankische rijk binnen en vestigt zich in Normandië. Karel de Eenvoudige, de koning van het West-Frankische rijk uit de
familie van de Karolingen, moet dit probleem oplossen. Hij werkt daarbij samen met hertog Robert, de stamvader van het Franse koningshuis van de Capetingen. De
Capetingen nemen aan het einde van de tiende eeuw de macht over van de Karolingen.
De gebeurtenissen rond de inval van Rollo staan beschreven in een kroniek uit de
elfde eeuw uit de abdij van St. Denis (Frankrijk):"	"De koning was eerst van plan de provincie Vlaanderen aan Rollo te geven, maar de Noorman wees dat van de hand omdat hij Vlaanderen te drassig vond. Rollo weigerde vervolgens de voet van de koning te kussen toen die
hem het hertogdom Normandië schonk. ""Diegene die zo'n geschenk ontvangt moet de voet van de koning kussen,"" zei de bisschop tegen hem. ""Nooit,""
antwoordde Rollo, ""ik buig mijn knie voor niemand en kus niemands voet.""
Maar de aansporingen van de Franken brachten hem ertoe om één van zijn
krijgers te bevelen in zijn plaats de voet te kussen. De man pakte de voet van de koning en bracht die aan zijn lippen, de voet kussend zonder zich te
buigen, waardoor de koning achterover tuimelde. Er klonk luid gelach en er ontstond grote commotie onder de toeschouwers.
Koning Karel en Robert, hertog van de Franken, de hertogen en edelen, de bisschoppen en de abten bonden zich aan Rollo met de eed van het
katholieke geloof, waarbij ze zworen, op hun leven en hun lichamen en op de eer van het koninkrijk, dat hij het land mocht bezitten en dat het naar zijn
erfgenamen over zou gaan van generatie op generatie tot in de eeuwigheid. Toen deze zaken tot ieders tevredenheid waren uitgevoerd, keerde de koning met een goed humeur terug naar zijn domeinen. Rollo ging met hertog Robert naar Rouen.
In het jaar van Onze Heer 912 werd Rollo gedoopt in het heilige water in de
naam van de Heilige Drie-Eenheid door Franco, de aartsbisschop van Rouen.
Rollo eerde eerbiedig God en de Heilige Kerk met zijn geschenken. De
heidenen die zagen dat hun aanvoerder nu een christen was geworden, lieten hun afgoden in de steek en bekeerden zich en wilden zonder uitzondering
worden gedoopt. Intussen organiseerde hertog Robert een prachtige
huwelijksplechtigheid waarin Rollo volgens de christelijke riten huwde met Gisela, de dochter van de koning."																							
VWO	Tijdvak 3	KA 12 - het ontstaan van feodale verhoudingen in het bestuur	"
Op 2 maart 1127 wordt de Vlaamse graaf Karel de Goede in Brugge vermoord. In datzelfde jaar schrijft de klerk Galbert van Brugge hierover:"	"Toen in het leven van de glorieuze vorst het martelaarschap zijn intrede deed,
betekende dat een groot verdriet voor alle bewoners der aarde (…). En
wonderlijk genoeg, hoewel de graaf in de burcht van Brugge werd vermoord
op woensdag, namelijk in de ochtend van die dag, trof het bericht van zijn
rampzalige dood de inwoners van de stad Londen in Engeland de tweede dag
daarna, ongeveer tussen zes en zeven uur in de ochtend. En tegen de avond
van diezelfde dag wekte het bericht beroering bij de mensen van Laon, die ver
van ons in Frankrijk wonen; zoals we vernamen van onze studenten die
toentertijd in Laon studeerden. Zo zijn we ook ingelicht door onze kooplieden
die op dezelfde dag voor handelszaken te Londen waren. Te paard dan wel
per schip had niemand de afstanden tussen voornoemde plaatsen en tijden zo
snel kunnen overbruggen. (…)
Wij nu, inwoners van Vlaanderen die, zijn leven indachtig, de dood van de
graaf, zulk een groot vorst, bewenen. Wij bezweren, manen en bidden u:
smeekt (…) voor zijn ziel de heerlijkheid van het eeuwige leven af en de
altijddurende zaligheid in het gezelschap der heiligen. "																							
VWO	Tijdvak 3	KA 12 - het ontstaan van feodale verhoudingen in het bestuur, KA 9 - De verspreiding van het christendom in geheel Europa	" 
In zijn Kerkgeschiedenis van het Engelse volk, voltooid omstreeks 731, schrijft de monnik Beda over de oorlog die in 654 uitbreekt tussen de heersers van twee Angelsaksische koninkrijken in Engeland, Oswiu van Bernicia en Penda van Mercia:"	Rond die tijd werd koning Oswiu blootgesteld aan de woeste en onstuitbare aanvallen van Penda, de koning van Mercia, die Oswiu's broer had gedood. Uiteindelijk zag Oswiu zich gedwongen hem een enorm deel uit de koninklijke schatkist te beloven in ruil voor vrede. De voorwaarde was dat Penda terug zou keren naar huis en zou ophouden Oswiu's koninkrijk te verwoesten. Maar de heidense koning wilde dit aanbod niet accepteren, want hij was vastbesloten het hele volk, van hoog tot laag, uit te roeien. Oswiu deed een beroep op Gods genade en hulp, nu hij zag dat niets anders hem en zijn volk kon redden van deze barbaarse en meedogenloze vijand. (…) Aldus maakte hij zich met zijn kleine leger gereed voor de strijd. Er wordt verteld dat het leger van de heidenen wel dertigmaal groter was. (…) De slag begon en de heidenen werden op de vlucht gedreven en vernietigd. De dertig aanvoerders die aan de zijde van Penda vochten, verloren vrijwel allemaal het leven.																							
Havo	Tijdvak 3	KA 12 - het ontstaan van feodale verhoudingen in het bestuur, KA 14 - De opkomst van de stedelijke burgerij en de toenemende zelfstandigheid van steden	"
De middeleeuwse monnik Alpertus van Metz schrijft in de elfde eeuw over het gedrag van handelaren uit de stad Tiel:"	"Zo kwam het dat de Tielse kooplieden, die er in vergelijking met anderen ook wel bijzonder makkelijk toe komen over van alles en nog wat te klagen, zich bij herhaling tot de koning (van Engeland) wendden met het verzoek hen in
zijne genade tegen de rovers te beschermen. Als hij dat niet deed, zeiden ze, konden zij niet naar het eiland (Engeland) gaan om handel te drijven en
konden de Engelsen evenmin op Tiel handelen. Bijgevolg kon de belasting dan niet meer volledig aan de koning toevloeien, zoals dat toch hoorde.
Ik wil hier, niet om hen te bekladden, maar uit innig mededogen, een paar woorden inlassen over de gewoonten en instellingen waarin die Tielenaren zich van andere handelsplaatsen onderscheiden. (…)
Vonnissen vellen ze niet volgens het overgeleverde recht maar volgens
zelfgemaakte regels. En ze zeggen dat het recht hiertoe hun door de keizer in een oorkonde is gegeven en gegarandeerd."																							
Havo	Tijdvak 3	KA 9 - De verspreiding van het christendom in geheel Europa	"
Het onderstaande fragment is afkomstig uit een biografie over het leven van koning Alfred
(849-899) van Engeland, omstreeks 893 geschreven door zijn vertrouweling bisschop Asser:"	"Koning Alfred gaf opdracht tot het bouwen van een ander klooster bij de oostelijke poort van Shaftesbury als een verblijfplaats voor nonnen. Als abdis1) stelde hij zijn eigen dochter Aethelgifu aan, een maagd die aan God was gewijd. In het klooster leefden veel andere voorname nonnen met haar; ze dienden er God door het
kloosterleven. Alfred schonk aan dit klooster landgoederen en allerlei rijkdommen."	noot 1 abdis = hoofd van een vrouwenklooster																						
Havo	Tijdvak 3	KA 9 - De verspreiding van het christendom in geheel Europa	"
Bonifatius (ca 675-754) aartsbisschop van Mainz, trekt in 754 naar Friesland om de Friezen te bekeren tot het christendom. Hij spreekt met een groep eerder bekeerde Friezen af aan de oever van het riviertje de Boorne in de buurt van
Dokkum"	"Toen de vastgestelde dag echter aanbrak, kwamen er in plaats van vrienden vijanden terug en nieuwe beulsknechten in plaats van nieuwe gelovigen. Zodra hij het aanstormen van de tierende massa merkt, verzamelt de man Gods (Bonifatius) meteen zijn geestelijken om zich heen, neemt de relikwieën (overblijfselen) van de heiligen, stapt uit zijn tent en verbiedt de wapenknechten ogenblikkelijk verder te vechten, met de woorden: ”Hou op mannen, want de Heilige Schrift leert ons niet kwaad met kwaad te vergelden, maar kwaad met goed (…)”. Terwijl hij met dergelijke woorden zijn vrienden aanspoorde tot de martelaarskroon, stortte de hele woedende menigte heidenen zich met zwaarden en volle wapenrusting over hen heen en hakte hun lichamen neer in
heilbrengende moord."																							
Havo	Tijdvak 3	KA 9 - De verspreiding van het christendom in geheel Europa	"
Bonifatius (ca 675-754) aartsbisschop van Mainz, trekt in 754 naar Friesland om de Friezen te bekeren tot het christendom. Hij spreekt met een groep eerder bekeerde Friezen af aan de oever van het riviertje de Boorne in de buurt van
Dokkum"	"Toen de vastgestelde dag echter aanbrak, kwamen er in plaats van vrienden vijanden terug en nieuwe beulsknechten in plaats van nieuwe gelovigen. Zodra hij het aanstormen van de tierende massa merkt, verzamelt de man Gods (Bonifatius) meteen zijn geestelijken om zich heen, neemt de relikwieën (overblijfselen) van de heiligen, stapt uit zijn tent en verbiedt de wapenknechten ogenblikkelijk verder te vechten, met de woorden: ”Hou op mannen, want de Heilige Schrift leert ons niet kwaad met kwaad te vergelden, maar kwaad met goed (…)”. Terwijl hij met dergelijke woorden zijn vrienden aanspoorde tot de martelaarskroon, stortte de hele woedende menigte heidenen zich met zwaarden en volle wapenrusting over hen heen en hakte hun lichamen neer in
heilbrengende moord."																							
Havo	Tijdvak 3	KA 9 - De verspreiding van het christendom in geheel Europa	"
Bisschop Willibrordus (650-739) is een bekende missionaris uit de vroege
Middeleeuwen. De Engelse monnik Alcuïnus schrijft omstreeks 790 over hem"	"Toen dus de eerbiedwaardige man eens, zoals hij gewoon was, op missiereis was, kwam hij bij een plaats die Walichrum (Walcheren) heet, waar nog een
heiligdom van het oude bijgeloof stond. Toen de man Gods dit in zijn vurige ijver verbrijzelde voor de ogen van de bewaker van het heiligdom, ontstak deze in
hevige woede en sloeg met zijn zwaard op het hoofd van de priester van
Christus om het onrecht zijn god aangedaan te wreken. Maar omdat God zijn dienaar beschermde, liep hij geen enkel letsel op. Toen zijn metgezellen dit
zagen, kwamen zij aanrennen om het brute geweld van de goddeloze man met
de dood te straffen. Maar de schuldige werd door de vrome man Gods uit hun handen bevrijd en hij liet hem gaan."			10																				
Havo	Tijdvak 3	KA 9 - De verspreiding van het christendom in geheel Europa	"
Bisschop Willibrordus (650-739) is een bekende missionaris uit de vroege
Middeleeuwen. De Engelse monnik Alcuïnus schrijft omstreeks 790 over hem"	"Toen dus de eerbiedwaardige man eens, zoals hij gewoon was, op missiereis was, kwam hij bij een plaats die Walichrum (Walcheren) heet, waar nog een
heiligdom van het oude bijgeloof stond. Toen de man Gods dit in zijn vurige ijver verbrijzelde voor de ogen van de bewaker van het heiligdom, ontstak deze in
hevige woede en sloeg met zijn zwaard op het hoofd van de priester van
Christus om het onrecht zijn god aangedaan te wreken. Maar omdat God zijn dienaar beschermde, liep hij geen enkel letsel op. Toen zijn metgezellen dit
zagen, kwamen zij aanrennen om het brute geweld van de goddeloze man met
de dood te straffen. Maar de schuldige werd door de vrome man Gods uit hun handen bevrijd en hij liet hem gaan."																							
