type,title,url,ka_best,ka_top3,confidence,matched_terms_bestka
persoon,Aethelred II van Engeland,https://historiek.net/aethelred-ii-van-engeland-ca-968-1016/3315/,,,0.0,
persoon,Aethelstan van Engeland,https://historiek.net/aethelstan-van-engeland-ca-895-939/3318/,,,0.0,
persoon,"af Klint, Hilma",https://historiek.net/hilma-af-klint-schilderde-het-onzichtbare/168960/,,,0.0,
persoon,"Affre, Denis Auguste",https://historiek.net/denis-auguste-affre-1793-1848/3324/,,,0.0,
persoon,Agnes (heilige),https://historiek.net/heilige-agnes-ca-291-304/3332/,,,0.0,
persoon,Agobard,https://historiek.net/agobard-ca-769-840/3338/,,,0.0,
persoon,"Agricola, Gnaius Julius",https://historiek.net/gnaius-julius-agricola-40-93-na-chr/1599/,,,0.0,
persoon,"Agricola, Mikael",https://historiek.net/mikael-agricola-ca-1508-1557/3340/,,,0.0,
persoon,"Agricola, Rudolf",https://historiek.net/rudolf-agricola-1444-1485/3342/,,,0.0,
persoon,Agrippa Postumus,https://historiek.net/agrippa-postumus-12-vchr-14-na-chr/3344/,,,0.0,
persoon,"Agrippa, Marcus Visanius",https://historiek.net/marcus-vipsanius-agrippa-ca-64-12-vchr/3349/,,,0.0,
persoon,"Agrippina, Julia",https://historiek.net/julia-agrippina-15-59-na-chr/3352/,,,0.0,
persoon,"Agt, Dries van",https://historiek.net/dries-van-agt-1931/2698/,,,0.0,
persoon,"Aguesseau, Henri François d’",https://historiek.net/henri-francois-daguesseau-1669-1751/3354/,,,0.0,
persoon,Aiden van Lindesfarne,https://historiek.net/aiden-van-lindisfarne-ierse-monnik-heilige/3426/,,,0.0,
persoon,"Ainsworth, Thomas",https://historiek.net/thomas-ainsworth-1795-1841/3428/,,,0.0,
persoon,Aistulf van de Longobarden,https://historiek.net/aistulf-van-de-longobarden-ca-700-756/3447/,,,0.0,
persoon,Akbar de Grote,https://historiek.net/akbar-de-grote-1542-1605/3450/,,,0.0,
persoon,Akihito,https://historiek.net/akihito-125e-keizer-japan/61065/,,,0.0,
persoon,"Aksakov, Ivan",https://historiek.net/ivan-aksakov-1823-1889/3456/,,,0.0,
persoon,"Aksjonov, Vasili",https://historiek.net/schrijver-vasili-aksjonov-76-overleden/5204/,,,0.0,
persoon,"al-Djilani, Abd al-Kadir",https://historiek.net/abd-al-kadir-al-djilani-1077-1166/3120/,,,0.0,
persoon,Al-Mahdi,https://historiek.net/al-mahdi-harun-al-rashid-al-mamun-abbasiden/177745/,,,0.0,
persoon,"al-Malik, Abd",https://historiek.net/abd-al-malik-646-705/3122/,,,0.0,
persoon,al-Mamun,https://historiek.net/al-mahdi-harun-al-rashid-al-mamun-abbasiden/177745/,,,0.0,
persoon,"al-Qassam, Izz ad-Din",https://historiek.net/izz-ad-din-al-qassam-1882-1935/3441/,,,0.0,
persoon,Alarik I,https://historiek.net/alarik-i-ca-370-410-na-chr/3479/,,,0.0,
persoon,Alarik II,https://historiek.net/alarik-ii-507-na-chr/3482/,,,0.0,
persoon,Albanus van Mainz,https://historiek.net/albanus-van-mainz-406/3484/,,,0.0,
persoon,"Albarda, Johan Willem",https://historiek.net/johan-willem-albarda-1877-1957/3486/,,,0.0,
persoon,"Alberdingk Thijm, Joseph",https://historiek.net/joseph-alberdingk-thijm-1820-1889/3489/,,,0.0,
persoon,Alberik I,https://historiek.net/alberik-i-784/3498/,,,0.0,
persoon,Albert I van België,https://historiek.net/koning-albert-i-van-belgie-1875-1934/2343/,,,0.0,
persoon,Albert I van Monaco,https://historiek.net/albert-i-van-monaco-1848-1922/3504/,,,0.0,
persoon,Albert van Leuven,https://historiek.net/albert-van-leuven-ca-1165-1192/3502/,,,0.0,
persoon,Albert van Pruisen,https://historiek.net/albert-van-pruisen-1809-1872/3534/,,,0.0,
persoon,Albert van Saksen-Coburg-Gotha,https://historiek.net/albert-van-saksen-coburg-gotha-1819-1861/3500/,,,0.0,
persoon,"Alberti, Leon Battista",https://historiek.net/leon-battista-alberti-1404-1472/3508/,,,0.0,
persoon,Albertine Agnes van Nassau,https://historiek.net/albertine-agnes-van-nassau-1634-1696/3510/,,,0.0,
persoon,Albertus Magnus,https://historiek.net/albertus-magnus-ca-1200-1280/3514/,,,0.0,
persoon,Alboin van de Longobarden,https://historiek.net/alboin-van-de-longobarden-573/3517/,,,0.0,
persoon,Albrecht I van Habsburg,https://historiek.net/albrecht-i-van-habsburg-1255-1308/3521/,,,0.0,
persoon,Albrecht II van Habsburg,https://historiek.net/albrecht-ii-van-habsburg-1397-1439/3523/,,,0.0,
persoon,Albrecht III van Saksen,https://historiek.net/albrecht-iii-van-saksen-1443-1500/3537/,,,0.0,
persoon,Albrecht V van Beieren,https://historiek.net/albrecht-v-van-beieren-1528-1579/3519/,,,0.0,
